tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
31-03-2020,2,0,0,2,2,0,0,2
01-04-2020,2,0,0,2,4,0,0,4
02-04-2020,0,0,0,0,4,0,0,4
03-04-2020,0,0,0,0,4,0,0,4
04-04-2020,0,0,0,0,4,0,0,4
05-04-2020,0,0,0,0,4,0,0,4
06-04-2020,3,0,0,3,7,0,0,7
07-04-2020,0,0,0,0,7,0,0,7
08-04-2020,0,0,0,0,7,0,0,7
09-04-2020,6,0,2,4,13,2,0,11
10-04-2020,9,0,0,9,22,2,0,20
11-04-2020,2,2,0,0,24,2,2,20
12-04-2020,9,0,0,9,33,2,2,29
13-04-2020,3,0,0,3,36,2,2,32
14-04-2020,0,0,0,0,36,2,2,32
15-04-2020,0,0,0,0,36,2,2,32
16-04-2020,8,0,0,8,44,2,2,40
17-04-2020,6,0,0,6,50,2,2,46
18-04-2020,4,0,0,4,54,2,2,50
19-04-2020,6,1,9,-4,60,11,3,46
20-04-2020,11,1,0,10,71,11,4,56
21-04-2020,21,0,0,21,92,11,4,77
22-04-2020,15,0,0,15,107,11,4,92
23-04-2020,7,0,2,5,114,13,4,97
24-04-2020,38,0,2,36,152,15,4,133
25-04-2020,28,0,5,23,180,20,4,156
26-04-2020,15,0,0,15,195,20,4,171
27-04-2020,11,0,2,9,206,22,4,180
28-04-2020,15,0,2,13,221,24,4,193
29-04-2020,9,0,7,2,230,31,4,195
30-04-2020,0,0,0,0,230,31,4,195
01-05-2020,3,0,0,3,233,31,4,198
02-05-2020,17,0,1,16,250,32,4,214
03-05-2020,18,0,4,14,268,36,4,228
04-05-2020,0,0,0,0,268,36,4,228
05-05-2020,16,0,10,6,284,46,4,234
06-05-2020,5,1,7,-3,289,53,5,231
07-05-2020,11,0,4,7,300,57,5,238
08-05-2020,12,0,22,-10,312,79,5,228
09-05-2020,18,1,7,10,330,86,6,238
10-05-2020,0,0,5,-5,330,91,6,233
11-05-2020,1,0,13,-12,331,104,6,221
12-05-2020,8,0,0,8,339,104,6,229
13-05-2020,5,1,9,-5,344,113,7,224
14-05-2020,6,0,24,-18,350,137,7,206
15-05-2020,8,0,50,-42,358,187,7,164
16-05-2020,7,0,0,7,365,187,7,171
17-05-2020,6,0,12,-6,371,199,7,165
18-05-2020,4,0,13,-9,375,212,7,156
19-05-2020,0,0,0,0,375,212,7,156
20-05-2020,18,0,0,18,393,212,7,174
21-05-2020,17,0,4,13,410,216,7,187
22-05-2020,54,0,3,51,464,219,7,238
23-05-2020,10,1,7,2,474,226,8,240
24-05-2020,4,0,0,4,478,226,8,244
25-05-2020,0,0,31,-31,478,257,8,213
26-05-2020,10,0,0,10,488,257,8,223
27-05-2020,49,1,14,34,537,271,9,257
28-05-2020,25,1,1,23,562,272,10,280
29-05-2020,28,0,3,25,590,275,10,305
30-05-2020,4,0,3,1,594,278,10,306
31-05-2020,42,0,12,30,636,290,10,336
01-06-2020,16,0,1,15,652,291,10,351
02-06-2020,18,2,0,16,670,291,12,367
03-06-2020,15,1,5,9,685,296,13,376
04-06-2020,20,4,2,14,705,298,17,390
05-06-2020,52,3,0,49,757,298,20,439
06-06-2020,41,1,12,28,798,310,21,467
07-06-2020,10,0,14,-4,808,324,21,463
08-06-2020,14,1,0,13,822,324,22,476
09-06-2020,8,3,0,5,830,324,25,481
10-06-2020,27,3,78,-54,857,402,28,427
11-06-2020,11,3,44,-36,868,446,31,391
12-06-2020,23,0,72,-49,891,518,31,342
13-06-2020,13,2,20,-9,904,538,33,333
14-06-2020,11,0,36,-25,915,574,33,308
15-06-2020,22,2,31,-11,937,605,35,297
16-06-2020,20,0,15,5,957,620,35,302
17-06-2020,21,6,30,-15,978,650,41,287
18-06-2020,30,2,20,8,1008,670,43,295
19-06-2020,14,0,19,-5,1022,689,43,290
20-06-2020,29,1,33,-5,1051,722,44,285
21-06-2020,5,0,7,-2,1056,729,44,283
22-06-2020,11,1,13,-3,1067,742,45,280
23-06-2020,14,0,8,6,1081,750,45,286
24-06-2020,21,2,19,0,1102,769,47,286
25-06-2020,17,2,6,9,1119,775,49,295
26-06-2020,23,0,11,12,1142,786,49,307
27-06-2020,21,1,5,15,1163,791,50,322
28-06-2020,36,9,19,8,1199,810,59,330
29-06-2020,14,0,6,8,1213,816,59,338
30-06-2020,21,1,8,12,1234,824,60,350
01-07-2020,11,3,7,1,1245,831,63,351
02-07-2020,15,0,11,4,1260,842,63,355
03-07-2020,23,0,25,-2,1283,867,63,353
04-07-2020,28,1,6,21,1311,873,64,374
05-07-2020,18,0,9,9,1329,882,64,383
06-07-2020,32,0,7,25,1361,889,64,408
07-07-2020,30,1,8,21,1391,897,65,429
08-07-2020,23,6,23,-6,1414,920,71,423
09-07-2020,29,1,12,16,1443,932,72,439
10-07-2020,36,2,14,20,1479,946,74,459
11-07-2020,39,0,14,25,1518,960,74,484
12-07-2020,30,3,13,14,1548,973,77,498
13-07-2020,23,4,22,-3,1571,995,81,495
14-07-2020,21,1,24,-4,1592,1019,82,491
15-07-2020,26,3,14,9,1618,1033,85,500
16-07-2020,30,0,27,3,1648,1060,85,503
17-07-2020,21,1,11,9,1669,1071,86,512
18-07-2020,25,3,13,9,1694,1084,89,521
19-07-2020,31,5,19,7,1725,1103,94,528
20-07-2020,34,2,1,31,1759,1104,96,559
21-07-2020,18,2,14,2,1777,1118,98,561
22-07-2020,12,0,10,2,1789,1128,98,563
23-07-2020,33,0,13,20,1822,1141,98,583
24-07-2020,28,5,15,8,1850,1156,103,591
25-07-2020,33,0,13,20,1883,1169,103,611
26-07-2020,20,1,22,-3,1903,1191,104,608
27-07-2020,23,3,21,-1,1926,1212,107,607
28-07-2020,20,1,6,13,1946,1218,108,620
29-07-2020,40,0,30,10,1986,1248,108,630
30-07-2020,36,0,12,24,2022,1260,108,654
31-07-2020,43,2,24,17,2065,1284,110,671
01-08-2020,0,0,0,0,2065,1284,110,671
02-08-2020,50,5,26,19,2115,1310,115,690
03-08-2020,35,2,9,24,2150,1319,117,714
04-08-2020,21,2,11,8,2171,1330,119,722
05-08-2020,26,2,29,-5,2197,1359,121,717
06-08-2020,27,1,15,11,2224,1374,122,728
07-08-2020,15,0,27,-12,2239,1401,122,716
08-08-2020,24,1,8,15,2263,1409,123,731
09-08-2020,27,0,14,13,2290,1423,123,744
10-08-2020,26,2,10,14,2316,1433,125,758
11-08-2020,22,3,55,-36,2338,1488,128,722
12-08-2020,24,1,54,-31,2362,1542,129,691
13-08-2020,13,0,48,-35,2375,1590,129,656
14-08-2020,24,0,18,6,2399,1608,129,662
15-08-2020,22,2,15,5,2421,1623,131,667
16-08-2020,15,0,20,-5,2436,1643,131,662
17-08-2020,22,1,13,8,2458,1656,132,670
18-08-2020,23,2,19,2,2481,1675,134,672
19-08-2020,24,1,21,2,2505,1696,135,674
20-08-2020,21,1,29,-9,2526,1725,136,665
21-08-2020,24,2,110,-88,2550,1835,138,577
22-08-2020,14,3,26,-15,2564,1861,141,562
23-08-2020,18,2,15,1,2582,1876,143,563
24-08-2020,14,5,8,1,2596,1884,148,564
25-08-2020,17,2,18,-3,2613,1902,150,561
26-08-2020,28,2,16,10,2641,1918,152,571
27-08-2020,21,3,21,-3,2662,1939,155,568
28-08-2020,23,1,27,-5,2685,1966,156,563
29-08-2020,42,0,27,15,2727,1993,156,578
30-08-2020,1,1,24,-24,2728,2017,157,554
31-08-2020,14,2,28,-16,2742,2045,159,538
01-09-2020,16,3,28,-15,2758,2073,162,523
02-09-2020,14,0,29,-15,2772,2102,162,508
03-09-2020,14,0,12,2,2786,2114,162,510
04-09-2020,9,3,14,-8,2795,2128,165,502
05-09-2020,33,2,25,6,2828,2153,167,508
06-09-2020,19,1,21,-3,2847,2174,168,505
07-09-2020,8,1,16,-9,2855,2190,169,496
08-09-2020,20,2,19,-1,2875,2209,171,495
09-09-2020,15,0,25,-10,2890,2234,171,485
10-09-2020,11,0,31,-20,2901,2265,171,465
11-09-2020,9,1,19,-11,2910,2284,172,454
12-09-2020,13,0,26,-13,2923,2310,172,441
13-09-2020,16,1,9,6,2939,2319,173,447
14-09-2020,22,0,23,-1,2961,2342,173,446
15-09-2020,20,1,9,10,2981,2351,174,456
16-09-2020,9,0,13,-4,2990,2364,174,452
17-09-2020,19,3,20,-4,3009,2384,177,448
18-09-2020,20,2,11,7,3029,2395,179,455
19-09-2020,53,3,22,28,3082,2417,182,483
20-09-2020,19,0,12,7,3101,2429,182,490
21-09-2020,25,3,12,10,3126,2441,185,500
22-09-2020,11,2,15,-6,3137,2456,187,494
23-09-2020,24,0,20,4,3161,2476,187,498
24-09-2020,39,3,20,16,3200,2496,190,514
25-09-2020,18,2,39,-23,3218,2535,192,491
26-09-2020,28,0,11,17,3246,2546,192,508
27-09-2020,19,2,8,9,3265,2554,194,517
28-09-2020,17,1,4,12,3282,2558,195,529
29-09-2020,7,0,39,-32,3289,2597,195,497
30-09-2020,27,1,40,-14,3316,2637,196,483
01-10-2020,30,2,14,14,3346,2651,198,497
02-10-2020,26,2,7,17,3372,2658,200,514
03-10-2020,22,2,17,3,3394,2675,202,517
04-10-2020,26,1,10,15,3420,2685,203,532
05-10-2020,21,0,20,1,3441,2705,203,533
06-10-2020,23,0,33,-10,3464,2738,203,523
07-10-2020,7,0,18,-11,3471,2756,203,512
08-10-2020,14,0,13,1,3485,2769,203,513
09-10-2020,28,2,22,4,3513,2791,205,517
10-10-2020,7,1,7,-1,3520,2798,206,516
11-10-2020,19,0,7,12,3539,2805,206,528
12-10-2020,15,0,7,8,3554,2812,206,536
13-10-2020,8,0,72,-64,3562,2884,206,472
14-10-2020,26,2,51,-27,3588,2935,208,445
15-10-2020,25,0,15,10,3613,2950,208,455
16-10-2020,33,0,19,14,3646,2969,208,469
17-10-2020,27,1,24,2,3673,2993,209,471
18-10-2020,31,0,11,20,3704,3004,209,491
19-10-2020,28,2,6,20,3732,3010,211,511
20-10-2020,21,2,10,9,3753,3020,213,520
21-10-2020,32,1,14,17,3785,3034,214,537
22-10-2020,25,1,42,-18,3810,3076,215,519
23-10-2020,20,1,27,-8,3830,3103,216,511
24-10-2020,6,1,14,-9,3836,3117,217,502
25-10-2020,22,2,16,4,3858,3133,219,506
26-10-2020,26,0,22,4,3884,3155,219,510
27-10-2020,29,0,32,-3,3913,3187,219,507
28-10-2020,27,0,32,-5,3940,3219,219,502
29-10-2020,10,0,31,-21,3950,3250,219,481
30-10-2020,16,1,4,11,3966,3254,220,492
31-10-2020,6,1,3,2,3972,3257,221,494
01-11-2020,24,0,5,19,3996,3262,221,513
02-11-2020,2,1,9,-8,3998,3271,222,505
03-11-2020,18,0,23,-5,4016,3294,222,500
04-11-2020,26,2,59,-35,4042,3353,224,465
05-11-2020,54,1,78,-25,4096,3431,225,440
06-11-2020,21,2,27,-8,4117,3458,227,432
07-11-2020,32,0,17,15,4149,3475,227,447
08-11-2020,46,2,61,-17,4195,3536,229,430
09-11-2020,44,0,3,41,4239,3539,229,471
10-11-2020,11,0,0,11,4250,3539,229,482
11-11-2020,36,1,0,35,4286,3539,230,517
12-11-2020,28,0,0,28,4314,3539,230,545
13-11-2020,48,0,0,48,4362,3539,230,593
14-11-2020,27,0,0,27,4389,3539,230,620
15-11-2020,14,0,0,14,4403,3539,230,634
16-11-2020,0,0,0,0,4403,3539,230,634
17-11-2020,4,0,3,1,4407,3542,230,635
18-11-2020,21,1,10,10,4428,3552,231,645
19-11-2020,16,0,14,2,4444,3566,231,647
20-11-2020,39,4,22,13,4483,3588,235,660
21-11-2020,28,0,2,26,4511,3590,235,686
22-11-2020,10,0,30,-20,4521,3620,235,666
23-11-2020,15,1,3,11,4536,3623,236,677
24-11-2020,14,0,9,5,4550,3632,236,682
25-11-2020,10,2,32,-24,4560,3664,238,658
26-11-2020,17,0,21,-4,4577,3685,238,654
27-11-2020,38,1,13,24,4615,3698,239,678
28-11-2020,32,1,17,14,4647,3715,240,692
29-11-2020,24,1,8,15,4671,3723,241,707
30-11-2020,8,2,4,2,4679,3727,243,709
01-12-2020,18,1,36,-19,4697,3763,244,690
02-12-2020,22,1,49,-28,4719,3812,245,662
03-12-2020,12,1,50,-39,4731,3862,246,623
04-12-2020,33,2,103,-72,4764,3965,248,551
05-12-2020,27,0,66,-39,4791,4031,248,512
06-12-2020,14,1,32,-19,4805,4063,249,493
07-12-2020,25,2,14,9,4830,4077,251,502
08-12-2020,9,1,18,-10,4839,4095,252,492
09-12-2020,57,1,22,34,4896,4117,253,526
10-12-2020,20,0,19,1,4916,4136,253,527
11-12-2020,34,0,14,20,4950,4150,253,547
12-12-2020,37,1,28,8,4987,4178,254,555
13-12-2020,29,2,16,11,5016,4194,256,566
14-12-2020,47,0,4,43,5063,4198,256,609
15-12-2020,34,2,19,13,5097,4217,258,622
16-12-2020,33,0,10,23,5130,4227,258,645
17-12-2020,31,0,0,31,5161,4227,258,676
18-12-2020,19,0,0,19,5180,4227,258,695
19-12-2020,35,1,26,8,5215,4253,259,703
20-12-2020,23,0,10,13,5238,4263,259,716
21-12-2020,57,2,1,54,5295,4264,261,770
22-12-2020,39,0,36,3,5334,4300,261,773
23-12-2020,22,0,23,-1,5356,4323,261,772
24-12-2020,42,0,35,7,5398,4358,261,779
25-12-2020,24,0,5,19,5422,4363,261,798
26-12-2020,32,0,18,14,5454,4381,261,812
27-12-2020,16,0,25,-9,5470,4406,261,803
28-12-2020,53,0,5,48,5523,4411,261,851
29-12-2020,11,0,36,-25,5534,4447,261,826
30-12-2020,65,0,60,5,5599,4507,261,831
31-12-2020,65,0,48,17,5664,4555,261,848
01-01-2021,60,0,20,40,5724,4575,261,888
02-01-2021,59,2,39,18,5783,4614,263,906
03-01-2021,21,0,14,7,5804,4628,263,913
04-01-2021,43,0,13,30,5847,4641,263,943
05-01-2021,13,0,0,13,5860,4641,263,956
06-01-2021,42,1,12,29,5902,4653,264,985
07-01-2021,59,0,46,13,5961,4699,264,998
08-01-2021,37,0,102,-65,5998,4801,264,933
09-01-2021,70,0,88,-18,6068,4889,264,915
10-01-2021,68,0,98,-30,6136,4987,264,885
11-01-2021,43,0,72,-29,6179,5059,264,856
12-01-2021,58,0,1,57,6237,5060,264,913
13-01-2021,33,0,29,4,6270,5089,264,917
14-01-2021,83,0,28,55,6353,5117,264,972
15-01-2021,58,0,17,41,6411,5134,264,1013
16-01-2021,72,0,14,58,6483,5148,264,1071
17-01-2021,60,0,33,27,6543,5181,264,1098
18-01-2021,35,1,40,-6,6578,5221,265,1092
19-01-2021,65,2,23,40,6643,5244,267,1132
20-01-2021,64,0,45,19,6707,5289,267,1151
21-01-2021,90,3,97,-10,6797,5386,270,1141
22-01-2021,55,1,68,-14,6852,5454,271,1127
23-01-2021,88,1,33,54,6940,5487,272,1181
24-01-2021,83,0,28,55,7023,5515,272,1236
25-01-2021,57,0,25,32,7080,5540,272,1268
26-01-2021,50,0,33,17,7130,5573,272,1285
27-01-2021,107,0,50,57,7237,5623,272,1342
